"award_id"	"contract_id"	"vendor"	"contract"	"estimated_cost"	"obligated_amount"	"start_date"	"end_date"	"issuing_office"	"type"
"72061521CA00007"	"72061521CA00007"	"PROGRAM FOR APPROPRIATE TECHNOLOGY IN HEALTH"	"USAID NURU YA MTOTO - OVC & DREAMS ACTIVITY"	64218620	58163491.99	2021-03-18	2026-03-17	"American Embassy Nairobi"	"funded"
"72061521CA00008"	"72061521CA00008"	"MOI UNIVERSITY COLLEGE OF HEALTH SCIENCES"	"The purpose of this Cooperative Agreement is to provide support for the USAID 4TheChild Program."	34648595	24861219.11	2021-03-25	2026-03-24	"American Embassy Nairobi"	"funded"
"72061521CA00013"	"72061521CA00013"	"ST JOHN'S COMMUNITY CENTRE: PUMWANI"	"The purpose of this Cooperative Agreement is to provide support for the USAID 4BetterHealth Program."	8953012	7349105.91	2021-04-21	2026-04-20	"American Embassy Nairobi"	"funded"
"72061521CA00006"	"72061521CA00006"	"DELOITTE & TOUCHE LLP"	"USAID|KEA/ USAID Tujenge Jamii Activity - Kenya Health Partnerships for Quality Services (KHPQS) Cluster 4 - Integrated HIV Clinical, FP/RMNCAH, Nutrition and WASH."	46702752	40589958.85	2021-03-12	2026-03-11	"American Embassy Nairobi"	"funded"
"72061521CA00003"	"72061521CA00003"	"AMREF HEALTH AFRICA IN KENYA"	"KHPQS - HIV, FP/RMNACH, Nutrition, WASH, DREAMS and OVC USAID/HPN Kenya Health Partnerships for Quality Services (KHPQS) Activity. Cluster 6"	29987738	27626826	2021-03-03	2026-03-02	"American Embassy Nairobi"	"funded"
"72061521CA00010"	"72061521CA00010"	"LVCT HEALTH"	"Cluster 1- Procurement of the new HPN Kenya Health Partnership for Quality services (KHPQS) activity"	55890129	47007376.6	2021-06-30	2026-06-29	"American Embassy Nairobi"	"funded"
"72061521C00003"	"72061521C00003"	"MISSION FOR ESSENTIAL DRUGS AND SUPPLIES"	"USAID Supply Chain Strengthening"	217933718.9	29237463	2021-06-29	2026-06-28	"American Embassy Nairobi"	"funded"
"72061521CA00020"	"72061521CA00020"	"MOI TEACHING AND REFERRAL HOSPITAL"	"USAID AMPATH Uzima - Integrated activity covering HIV/AIDS Clinical, OVC, FP/RMNCAH, Nutrition and WASH."	53805244.85	39492788	2021-10-14	2026-10-13	"American Embassy Nairobi"	"funded"
"72061524CA00006"	"72061524CA00006"	"CENTRE FOR HEALTH SOLUTIONS - KENYA"	"The envisaged program is expected to continue covering diagnosis of TB, treatment of diagnosed patients and prevention of transmission of TB, besides spearheading introduction of new technologies and approaches, and sustain the gains made in control of TB"	48295619	10417976	2024-05-28	2029-05-28	"American Embassy Nairobi"	"funded"
"72061522CA00001"	"72061522CA00001"	"MOI TEACHING AND REFERRAL HOSPITAL"	"USAID Kenya and East Africa Dumisha Afya Activity - HIV Service Delivery in Bungoma and Busia"	34566320	22692554.42	2021-10-29	2026-10-28	"American Embassy Nairobi"	"funded"
"72061521CA00009"	"72061521CA00009"	"CHRISTIAN HEALTH ASSOCIATION OF KENYA"	"USAID Jamii Tekelezi - HIV and OVC program"	23311454	19938618	2021-03-26	2026-03-25	"American Embassy Nairobi"	"funded"
"720BHA24GR00303"	"720BHA24GR00303"	"CRS - USCCB"	"FY24 New award for a total of $101,500,030 Commodity Credit Corporation Contribution to CRS JEOP 2.0 for Food Assistance countrywide in Ethiopia"	32201851	32201851	2024-09-02	2025-08-01	"BHA"	"funded"
